Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Onsite Renewable (kWh),ENERGY STAR Score
South Cove Plaza West - 230 STUART ST: 26090791000,500800000,Multifamily Housing,230 Stuart Street,135160,Multifamily Housing,3407389.6,1,,,,,,,,94
Belgrade Place LLC,2005737000,Multifamily Housing,446 Belgrade Ave,65574,"Multifamily Housing, Parking",2021194.3,0.7392,0.268,,,,,,,71
Pilot House,303034000,Office,32 Atlantic Avenue,43518,Office,2890693.5,0.51,0.49,,,,,,,66
2 Atlantic,303030010,Office,2 Atlantic Avenue,128524,"Office, Parking",8291033,0.4766,0.5234,,,,,,,41
Pier 4,602672030,Office,200 Pier 4 Boulevard,394245,"Fitness Center/Health Club/Gym, Office, Restaurant",16393611.5,0.7273,0.2727,,,,,,,90
131 Dartmouth Street,400572000,Office,131 Dartmouth Street,673249.3,"Data Center, Office, Parking",22370402.5,1,,,,,,,,74
53 State Street,303870000,Office,53 State Street,1261269,"Bank Branch, Convenience Store without Gas Station, Fitness Center/Health Club/Gym, Office, Parking, Restaurant",61293702.8,0.7357,,0.2643,,,,,,83
15 Broad St,303836000,Office,15 Broad Street,77678,Office,5940828.7,0.2445,,,,,,,,79
Newfield Woods Condo ASC,2007665010,Multifamily Housing,97 Anderer LN,71121,Multifamily Housing,2283341.4,0.476,0.524,,,,,,,98
Reservoir Towers: Reservoir Towers,2102474000,Multifamily Housing,CHESNUT HILL AVE/ 1925 Commonwealth,225370,Multifamily Housing,13829641.5,0.2925,0.775,,,,,,,81
Grant Manor: Grant Manor,801675000,Multifamily Housing,1810-1854 Washington Street,209882,Multifamily Housing,18369663,0.2287,0.7713,,,,,,,32
Bay Cove Human Services,301612000,Office,157-159 Friend Street,54893,"Office, Urgent Care/Clinic/Other Outpatient",2989157.2,0.4626,0.5374,,,,,,,90
BRE-BMR Congress LLC,602678701,Financial Office,601 Congress Street,617253,"Data Center, Financial Office, Parking",13073930.7,0.9989,0.11,,,,,,,
BMR-Blackfan Circle LLC,401853022,Laboratory,3 Blackfan Circle,1072369,"Laboratory, Parking, Restaurant",315439420.2,0.3794,0.626,,,,,,,
Nine Zero - SV,304697000,Hotel,90 Tremont Street,190440,Hotel,20061799,0.3129,0.6871,,,,,,,62
Onyx Hotel,301646010,Hotel,155 Portland Street,65605,"Hotel, Parking",3909951.7,0.494,0.56,,,,,,,91
Shubert Theatre,500063000,Performing Arts,263-265 Tremont Steet,24622,Performing Arts,2552187,0.1773,0.8227,,,,,,,
Wang Theatre,305651000,Performing Arts,270 Tremont Street,88434,Performing Arts,5485142.8,0.587,0.374,0.4539,,,,,,
House of Blues Boston,504193000,Performing Arts,15 Lansdowne Street,35000,Performing Arts,4067516.1,0.6442,0.3558,,,,,,,
The Colonnade Residences,400905010,Multifamily Housing,118 Huntington Avenue,177200,"Multifamily Housing, Parking",23696569.4,0.3824,0.6176,,,,,,,
Charlestown Battalion Armory,201186050,Multifamily Housing,374-398 Bunker Hill Street,77807,"Multifamily Housing, Parking",2058598.8,0.6131,0.3869,,,,,,,90
On the Fens Condominium,401719000,Multifamily Housing,70 & 74 Fenway,16459,Multifamily Housing,1272316.3,0.5178,0.4822,,,,,,,
Riverway Square Condominium,402005000,Multifamily Housing,even only 114-122 Riverway,64400,Multifamily Housing,6877584.2,0.1384,0.8616,,,,,,,63
Mountfort Place Condo Trust,2100256000,Multifamily Housing,120 Mountfort Street,35800,Multifamily Housing,2278266,0.4359,0.5641,,,,,,,54
Fenway Views Condominium,2100033010,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",44927,"Multifamily Housing, Parking",3271018.9,0.14,0.8996,,,,,,,90
Twenty-One Beacon Condominium,302807000,Multifamily Housing,21 Beacon Street,94785,"Convenience Store without Gas Station, Multifamily Housing, Office, Other - Restaurant/Bar",12642238.9,0.2425,0.7575,,,,,,,18
Somerset Condominium,503809000,Multifamily Housing,"400, 416, 418 Commonwealth Ave, 429 Newbury Street",155880,"Multifamily Housing, Office",9219451.7,0.723,0.277,,,,,,,89
Fenmore Condominium,504165000,Multifamily Housing,"1109-1111 Boylston Street, 50, 52, 56, 60 and 64 Charlesgate East",107517,Multifamily Housing,10520068,0.1388,0.8612,,,,,,,77
Windsor Place Condominium,503810000,Multifamily Housing,"388, 390 and 396 Commonwealth Avenue",120295,"Multifamily Housing, Office",8220835,0.3743,0.6257,,,,,,,69
Jamaicaway Place Condo,1001609000,Multifamily Housing,40-50-60 Jamaicaway,25400,Multifamily Housing,2614026.2,0.1465,0.8535,,,,,,,38
Arborway Gardens Condominium,1102640000,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",150172,Multifamily Housing,15907354.5,0.864,0.9136,,,,,,,19
Fenway By The Park Condominium,504275000,Multifamily Housing,125-131 Park Drive,49150,Multifamily Housing,4387659.9,0.1565,0.8435,,,,,,,73
Lincoln Halls at Park Drive Condominium,504213000,Multifamily Housing,11-15 Park Drive,52865,Multifamily Housing,3863519.9,0.1617,0.8383,,,,,,,87
The Schoolhouse on Monument Square Condominium,203150000,Multifamily Housing,30 Monument Square,82263,"Multifamily Housing, Parking",2981016.9,0.5826,,,0.4174,,,,,59
Peterborough Gardens Condo,504236000,Multifamily Housing,24 and 30 Peterborough Street,24432,Multifamily Housing,2563742.6,0.1816,0.8184,,,,,,,39
The 51 Park drive,504250000,Multifamily Housing,51 park drive,18322,Multifamily Housing,1043093.5,0.427,0.5793,,,,,,,93
56 & 60 Commonwealth Condominium,501274000,Multifamily Housing,56 and 60 Commonwealth,17839,"Multifamily Housing, Parking",1613572.8,0.1785,0.8215,,,,,,,71
Peterborough Condo,504224000,Multifamily Housing,82 & 86 Jersey Street,23803,Multifamily Housing,2502839.2,0.1737,0.8263,,,,,,,43
Bowdoin  Place Condominium,302726010,Multifamily Housing,10 Bowdoin Street,112888,Multifamily Housing,240607.4,1,,,,,,,,100
East Coast Condominium,303471000,Multifamily Housing,"122, 130 Fulton Street",24455,Multifamily Housing,1344911.3,0.4162,0.5838,,,,,,,58
1091 Boylston Street Condominium,504162000,Multifamily Housing,1091 Boylston,19161,Multifamily Housing,2543073.3,0.1119,0.8881,,,,,,,43
Shipways Condominium,203515600,Multifamily Housing,1-48 Shipway Place,106393,"Multifamily Housing, Office, Parking",533872.2,1,,,,,,,,100
The Atlantic Building,302960000,Office,400 Atlantic Avenue,104690,Office,5726392.8,0.6166,0.3834,,,,,,,89
99 Bedford Street,304245000,Office,99 Bedford Street,93779,Office,5694538.4,0.5526,0.4474,,,,,,,80
Independence Wharf,302956000,Office,470 Atlantic Avenue,364347,"Financial Office, Office, Parking",13548795.9,0.6913,,0.387,,,,,,92
Constellation Wharf Condominium,203516001,Multifamily Housing,Pier 7 Ninth Street,177451,"Multifamily Housing, Parking",494903.8,1,,,,,,,,100
Peterborough Housing:  35-45 Peterborough St,504221000; 0504222000; 0504223000; 0504220000,Multifamily Housing,35-45 Peterborough St,47185,Multifamily Housing,4151076.4,0.189,,,0.8191,,,,,40
Peterborough Housing: 36-46 Peterborough,504232000; 504233000; 504234000; 504235000,Multifamily Housing,36-46 Peterborough Street,49945,Multifamily Housing,5278044.2,0.174,,,0.826,,,,,89
Peterborough Housing: 72-82 Peterborough St,0504308000;0504307000;0504306000;0504305000;0504304000,Multifamily Housing,72-82 Peterborough Street,113192,Multifamily Housing,7223484.6,0.1789,0.2422,,0.5788,,,,,57
Peterborough Housing (Parent Account),"504232000; 504233000; 504234000; 504235000; 504221000; 0504222000; 0504223000; 0504220000; 0504308000,0504307000,0504306000,0504305000,0504304000",Multifamily Housing,"36-46, 35-45, 72-82 Peterborough St",210322,Multifamily Housing,16652605.2,0.1778,0.151,,0.7171,,,,,35
1444,2101819000,Multifamily Housing,1442 1444 Commonwealth Ave,25913,Multifamily Housing,1761826.4,0.1349,0.215,,0.8437,,,,,87
Adams House Condominiums,1602997000,Multifamily Housing,59 Msgr Lydon Way,55060,"Multifamily Housing, Parking",1436120.4,1,,,,,,,,73
Trinity Place Condominium,401053010,Multifamily Housing,1 Huntington Ave.,205800,"Multifamily Housing, Other - Restaurant/Bar, Other - Services, Parking",19188017.7,0.443,0.937,0.466,,,,0.3596,,1
Boston MA KO,301646010,Hotel,155 Portland St,60106,Hotel,3900358.9,0.4952,0.548,,,,,,,85
Sparrow Enterprises Ltd,103704100,Manufacturing/Industrial Plant,98r Condor Street,46000,Manufacturing/Industrial Plant,1367605.6,0.216,0.784,,,,,,,
One Canal (nc87),301560010,Multifamily Housing,1 Canal Street,273110,Multifamily Housing,16142316.6,0.651,0.3499,,,,,,,22
Wise Realty,201806000,Other,511 Medford Street,37636,Other,238860608.6,0.6,0.18,,,,,0.9886,,
"755 Boylston, LLC",503207200,Multifamily Housing,755 Boylston Street,54384,"Multifamily Housing, Restaurant",2083825.9,0.5691,0.439,,,,,,,
121 Seaport,0602643-042,Office,121 Seaport Boulevard,616838,"Office, Parking, Retail Store",22810205.5,0.713,0.2897,,,,,,,
Thomson Portfolio - 26 Thomson Place,602654010,Office,26 Thomson Place,33942,Office,1908098,0.5311,,,0.4689,,,,,83
Thomson Portfolio - 35 Thomson Place,602652010,Office,35-37 Thomson Place,53100,Office,3752986.2,0.462,0.5398,,,,,,,69
Thomson Portfolio - 44 Thomson Place,602654010,Supermarket/Grocery Store,42-56 Thomson Place,32384,"Office, Supermarket/Grocery Store",4164426.9,0.513,0.4897,,,,,,,
Thomson Portfolio - 25 Thomson Place - Parcel 0602652010,602652010,Office,25-35 Thomson Place,117469,"Office, Restaurant, Retail Store",7509789.4,0.651,0.3499,,,,,,,73
Thomson Portfolio - 12-22 Thomson Place - Parcel 0602654010,602654010,Office,12-22 Thomson Place,49500,Office,3654071.5,0.4333,0.5667,,,,,,,72
Thomson Portfolio - 11 Farnsworth St - Parcel 06-02658-001,602658001,Financial Office,11 Farnsworth Street,45280,Financial Office,2556083,0.5816,,,0.4184,,,,,94
Thomson Portfolio 30-36 Thomson Place,602654010,Office,30/36 Thomson Place,73363,Office,3764814.9,0.469,0.5931,,,,,,,94
22 Boston Wharf Road,602648010,Parking,22 Boston Wharf Road,296212,"Office, Parking",8474873.9,0.5363,0.4637,,,,,,,
88 Black Falcon,602674016,Non-Refrigerated Warehouse,88 Black Falcon Ave.,376675,"Non-Refrigerated Warehouse, Office",28129515.6,0.5382,0.4618,,,,,,,48
CO/GLC 6123006/6 BOWDOIN SQ/BOSTON/MA,302628000,Other - Technology/Science,6 BOWDOIN SQ,223538,Other - Technology/Science,35620208.2,0.7794,0.226,,,,,,,
CO/GLC 6140006/26 WAVERLY ST/ROXBURY/MA,1200357000,Other - Technology/Science,26 WAVERLY ST,107953,Other - Technology/Science,10076730.2,0.8414,0.1586,,,,,,,
CO/GLC 6150006/175 ADAMS ST/DORCESTER/MA,1501583000,Other - Technology/Science,175 ADAMS ST,104335,Other - Technology/Science,12338682.5,0.843,0.1957,,,,,,,
CO/GLC 6130007/41 BELVIDERE ST/BOSTON/MA,401314000,Other - Technology/Science,41 BELVIDERE ST,119288,Other - Technology/Science,25527588,1,,,,,,,,
Westland (ws237),401521000,Multifamily Housing,16 Westland Ave,35800,"Multifamily Housing, Parking",2230348.6,0.1444,0.8556,,,,,,,99
"Six Beacon Street, LLC",304695000,Office,6 Beacon Street,90000,Office,5246979.7,0.3511,0.6489,,,,,,,88
Hyatt Regency Boston,304500100,Hotel,One Avenue deLafayette,450000,"Heated Swimming Pool, Hotel, Other - Restaurant/Bar",24810770.8,0.6815,0.3185,,,,,,,89
Hilton Boston Logan Airport (BOSLH),104102000,Hotel,One Hotel Drive,410000,Hotel,39348707.2,0.4379,0.5621,,,,,,,61
Chapman House,102829000,Multifamily Housing,61 Eutaw Street,33551,Multifamily Housing,2555067.2,0.2326,0.7674,,,,,,,47
Roslindale Storage Holdings,02889-000,Self-Storage Facility,44 Lochdale Road,46800,Self-Storage Facility,412296.3,0.2838,0.7162,,,,,,,
25 James O'Neil S,700540130,Multifamily Housing,25 James O'Neil St,61678,Multifamily Housing,4092341.7,0.4167,0.5833,,,,,,,60
Quincy Towers,305550000,Multifamily Housing,5 Oak Street West,123197,Multifamily Housing,9166468.2,0.317,0.6983,,,,,,,56
285 Columbus Ave LLC,400548010,Multifamily Housing,285 Columbus Primary CNDO,107833,Multifamily Housing,4486581.3,0.821,0.179,,,,,,,61
319 A Condominium Association,602761100,Multifamily Housing,319 A Street,54982,Multifamily Housing,2176617.3,0.8248,0.1752,,,,,,,48
Carillon Condo Trust,401420010,Multifamily Housing,183 Massachusetts Avenue,50000,Multifamily Housing,3716650.2,0.3278,0.6722,,,,,,,25
Symphony Court Condo,401461010,Multifamily Housing,41 Westland Ave,101128,Multifamily Housing,5156188,0.7718,0.2282,,,,,,,17
1277 Commonwealth Ave,2101025000,Multifamily Housing,1277 Comonwealth Ave,63287,Multifamily Housing,4148054.6,0.2483,0.7517,,,,,,,85
15 North Beacon Street Condominium Trust,2201749000,Multifamily Housing,15 N-Beacon St,228988,Multifamily Housing,17391467,0.2548,0.7452,,,,,,,39
45 Province Condo Trust,304705000,Multifamily Housing,45 Province Street,275619,"Heated Swimming Pool, Multifamily Housing, Parking, Pre-school/Daycare, Restaurant",15932345.1,0.4512,0.5488,,,,,,,36
Brewery Lofts,1001480000,Multifamily Housing,251 Heath St Pub,86900,Multifamily Housing,6564792,0.5454,0.4546,,,,,,,16
Honeywell 510 Building,603068000,Non-Refrigerated Warehouse,516 East Second Street #43,25000,Non-Refrigerated Warehouse,Not Available,,,,,,,,,
The Distillery,603068000,Other,516 East Second Street #43,103000,Other,Not Available,,,,,,,,30045,
Distillery North,603067001,Multifamily Housing,455 East First Street,60000,"Multifamily Housing, Parking",833411.7,1,,,,,,,,100
Medical Area Total Energy Plant,401930000,Energy/Power Station,474 Brookline Avenue,259500,Energy/Power Station,25259998.1,0.1857,,0.7285,,,0.857,,,
1 Bulfinch Place,02624-000,Office,1 Bulfinch Place,89216,"Fitness Center/Health Club/Gym, Office",4956639.7,0.7985,0.215,,,,,,,60
Morrissey Plaza - Vacant [NWL/National Wholesale Liquidators->11/30/18],1600247000,Retail Store,725 William T Morrissey Boulevard,84470,Retail Store,1336171.9,0.9731,0.269,,,,,,,
401 Park,2100077000,Office,401 Park Drive,1003987,"Data Center, Office, Other - Mall, Retail Store",68409910.2,0.611,0.3989,,,,,,,78
New Port Antonio - 186 Ruthven St,1202208000,Multifamily Housing,186 Ruthven St,28066,Multifamily Housing,1963182.6,0.1473,0.8527,,,,,,,59
500 - 570 Rutherford Ave,202161000,Other,500 Rutherford Ave,448436,"College/University, Office, Other",38156599,0.941,0.59,,,,,,,
Millennium Towers,304590010,Multifamily Housing,1 Franklin St,758542,"Multifamily Housing, Retail Store",46813699.3,0.6843,0.3157,,,,,,,16
The Church of Scientology,2201328000,Office,214 Lincoln Street,68000,Office,1948400.6,0.3786,0.6214,,,,,,,93
Charles Bulfinch Condominium,303135000,Multifamily Housing,350 North Street,43463,Multifamily Housing,1408558.6,0.4693,0.537,,,,,,,100
KIPP Academy Boston Charter School,1800967000,K-12 School,37 Babson Street,52523,K-12 School,4545902.6,0.4715,0.5285,,,,,,,28
Washington Heights Apartments (Washow),2101844000,Multifamily Housing,127-135 Washington Street,80104,"Multifamily Housing, Parking",8265521.4,0.11,0.89,,,,,,,1
"North Beacon 155 Associates, LLC",2201908000,Non-Refrigerated Warehouse,155 North Beacon Street,146470,"Non-Refrigerated Warehouse, Parking",10469227.4,0.3281,0.6719,,,,,,,23
Franklin Park Villa Co-op: 131 Morton Street,1103774000,Multifamily Housing,131 Morton Street,52300,Multifamily Housing,3342475.7,0.2877,0.7123,,,,,,,55
Constitution Co-op: 42 Park Street,203350010,Multifamily Housing,42 Park Street,58304,Multifamily Housing,5611891.3,0.318,0.6892,,,,,,,58
Castle Cove Co-op: 225 West 2nd Street,5892086,Multifamily Housing,225 West 2nd Street,95760,Multifamily Housing,3906391.9,0.2986,0.714,,,,,,,94
Blue Ledge Co-op: 15 Blue Ledge Drive,4426493,Multifamily Housing,15 Blue Ledge Drive,72186,Multifamily Housing,4447525.3,0.3399,0.661,,,,,,,71
Malvern Place Apartments,2100556000; 2100555000,Multifamily Housing,"40 Malvern St. Allston, Ma. 02134",52180,"Multifamily Housing, Parking",2953727.8,0.321,0.6979,,,,,,,69
121 - Roche Bros.,304585010,Supermarket/Grocery Store,10 Summer St,37000,Supermarket/Grocery Store,5003876.6,0.8761,0.1239,,,,,,,87
115 – West Roxbury,2005752010,Supermarket/Grocery Store,1800 Centre St,135929,"Parking, Supermarket/Grocery Store",16104258.3,0.6379,0.3621,,,,,,,67
4-6 Water Street,303891000,Office,262 Washington Street,92700,Office,5582344.5,0.127,,,0.8973,,,,,95
115-119 Broad St,304040000,Office,109-115 Broad St.,56094,Office,614138,1,,,,,,,,
Court Square Equity Partners,302866000,Office,15 Court Sq,80442,Office,4345710.3,0.214,0.7896,,,,,,,94
217 231 Friend Street,301593000,Office,225 Friend Street,63000,"Office, Parking",1318497615,0.5,,0.9995,,,,,,1
1940 & 1950 Commonwealth Avenue,2102176000,Multifamily Housing,1940-1950 Commonwealth Avenue,60500,Multifamily Housing,3962374.7,0.1459,,,0.8541,,,,,93
"81, 85, 89 Strathmore Road",2102471000,Multifamily Housing,"81, 85 and 89 Strathmore Road",51400,Multifamily Housing,3247158.1,0.1563,,,0.8437,,,,,92
Hamilton Union:  518-524 Cambridge St,2101175000,Multifamily Housing,508-524 Cambridge,43803,Multifamily Housing,6253212.6,0.594,0.946,,,,,,,3
East Berkeley Lofts,306266000,Multifamily Housing,160 East Berkeley Street,50985,Multifamily Housing,2922153.5,0.3928,0.672,,,,,,,60
Atrium On Commonwealth,2100477000,Multifamily Housing,1079 Commonwealth Ave.,334440,"Multifamily Housing, Parking, Retail Store",8269695.2,1,,,,,,,,85
MSPCA/Angell,1002199001,Other - Specialty Hospital,350 South Huntington Ave,169972,Other - Specialty Hospital,22608851.2,0.45,0.55,,,,,,,
Merck MRL Boston,401847020,Laboratory,33 Avenue Louis PAsteur,626593,"Laboratory, Parking",167173596,0.3877,0.16,0.616,,,,,,
40 Warren Street,203648000,Office,40 Warren Street,44682,Office,Not Available,,,,,,,,,
"IM000106 - 32 George St, Boston, MA",800789000,Non-Refrigerated Warehouse,32 George St,242500,Non-Refrigerated Warehouse,2122960.9,0.4189,0.5811,,,,,,,96
"IM000104 - 120 Hampden St, Roxbury, MA",800823000,Non-Refrigerated Warehouse,120 Hampden St,70752,Non-Refrigerated Warehouse,1724908.5,0.129,0.8791,,,,,,,85
540 Comm Ave,503938000,Mixed Use Property,540 Commonwealth Avenue,35800,"Bank Branch, Fast Food Restaurant, Other - Education",3651131.7,0.5392,0.2634,,0.1974,,,,,
Geneva Apartments LLC,1401380000,Multifamily Housing,211 - 255 Geneva Ave,52350,Multifamily Housing,4336341.7,0.2566,0.7434,,,,,,,49
254-The Whitney,502443000,Hotel,170 Charles Street,37000,Hotel,3358301.1,0.5,0.5,,,,,,,66
125 Summer Street,304256000,Office,125 Summer Street,644403,"Data Center, Office, Parking",22368730.3,1,,,,,,,,83
University Club of Boston,401084050,Other - Recreation,426 Stuart Street,45000,Other - Recreation,6159270.5,0.368,0.6392,,,,,,,
Concord Houses- 715 Tremont,402660000,Multifamily Housing,715 Tremont Street,73000,Multifamily Housing,6402902.6,0.2679,0.7321,,,,,,,28
Concord Houses- 725 Tremont,402600000,Multifamily Housing,725 Tremont Street,73000,Multifamily Housing,6640726.6,0.259,0.7941,,,,,,,31
333 Washington Condo Trust,304721000,Other - Mall,333 Washington Street,143954,Other - Mall,13519709.6,0.5117,0.4883,,,,,,,
Millennium Avery Condo Tr,304488000,Multifamily Housing,580 Washington Street,280000,Multifamily Housing,21669607.7,0.5538,0.4462,,,,,,,8
Arthur J. Hurley Co.,01247-000,Distribution Center,2500 Washington Street,50000,Distribution Center,841534.2,0.293,0.797,,,,,,51622,85
Readville,1812975000,Distribution Center,Sprague Street,41250,Distribution Center,505001.2,0.2984,0.716,,,,,,,87
Museum of Science,301290002,Museum,8 Charles River Dam,786807,"Museum, Parking",41000246.4,0.3996,0.18,0.5896,,,,,,
The Verb Hotel,504208000,Hotel,1271 Boylston St,34509,"Heated Swimming Pool, Hotel",4580084.6,0.394,0.66,,,,,,,6
44 Prince Street Condominium Trust,302347000,Multifamily Housing,44 Prince Street,76038,"Multifamily Housing, Parking",3865039.8,0.388,0.612,,,,,,,46
142 Berkeley Street,401146000,Office,140-144 Berkeley Street,120000,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",8220302.5,0.249,,,0.751,,,,,92
200 Newbury Street,503201000,Retail Store,200 Newbury Street,60000,"Office, Parking, Retail Store",1897855.2,1,,,,,,,,67
XII Stoneholm Condominium Trust,401404000,Multifamily Housing,12 Stoneholm St,118301,Multifamily Housing,3422307.5,1,,,,,,,,97
Broadlawn Commons Condominium Trust,2007013060,Multifamily Housing,50 Broadlawn Park,108260,Multifamily Housing,7426472.7,0.314,0.686,,,,,,,49
1126,703501030,Retail Store,14 Allstate Road,45261,Retail Store,2109353.2,0.7581,0.2419,,,,,,,75
0733-Brighton - N. Beacon St.,2202708000,Self-Storage Facility,235 N. Beacon Street,27441,Self-Storage Facility,1018784.1,0.114,,,0.8896,,,,,
1645-Jamaica Plains - McBride St,1102605030,Self-Storage Facility,141 McBride St,94152,Self-Storage Facility,959215.4,0.626,0.374,,,,,,,
1098-Jamaica Plain,1102009000,Self-Storage Facility,3175 Washington Street,71057,Self-Storage Facility,2292091.1,0.8538,0.1462,,,,,,,
8505-Boston - Dorchester - Norwood St OC,1602405010,Self-Storage Facility,41 Norwood St,70076,Self-Storage Facility,763409.1,0.4713,0.5287,,,,,,,
BOSTON PAPER BOARD CORP,202127000,Manufacturing/Industrial Plant,40 ROLAND STREET,62970,Manufacturing/Industrial Plant,622094,0.4858,0.5142,,,,,,,
350 Washington Street,304630010,Retail Store,350 Washington Street,200784,"Fitness Center/Health Club/Gym, Retail Store",9858744.7,0.7957,,0.243,,,,,,59
274 Summer Street,602699000,Office,274 Summer St,68201,"Office, Restaurant",6141361.1,1,,,,,,,,40
266 Summer Street,602701000,Office,266 Summer Street,48377,"Office, Parking",3025537.5,0.9385,0.615,,,,,,,76
Washington Square Condominium,2101724000,Multifamily Housing,"309 -  313 Allston St., and 1560 - 1576 Commonwealth Ave.",154240,Multifamily Housing,12026863.7,0.1262,0.72,,0.8666,,,,,63
29WHY-Sheraton Boston Hotel,401037300,Hotel,39 Dalton Street,1128527,"Hotel, Parking",92655562.1,0.2555,0.7444,,,,,,,86
38 Newbury Street,501241000,Retail Store,38 Newbury Street,45762,"Office, Retail Store, Self-Storage Facility",2025992.6,0.4348,,0.5652,,,,,,92
126 Newbury Street,501320000,Retail Store,126 Newbury Street,49896,Retail Store,1789170.9,1,,,,,,,,88
"50 Milk Street, LLC",303910000,Office,50 Milk Street,334559,"Office, Parking, Restaurant",16810709.1,1,,,,,,,,86
The Tudor Condominium Trust,501604000,Multifamily Housing,34 1/2 Beacon Street,45000,Multifamily Housing,2184205.6,0.5883,0.4117,,,,,,,
Tremont Residential (Grandview Condo),304847010,Multifamily Housing,165 Tremont St,156534,Multifamily Housing,8158698.7,0.4926,0.574,,,,,,,59
27016-Mattapan(Hydepk)/River St,1804365000,Self-Storage Facility,800 River Street,50700,Self-Storage Facility,777967.4,0.3175,0.6825,,,,,,,
25833-Brighton/Lincoln ST,2200972000,Self-Storage Facility,156 Lincoln St,113000,Self-Storage Facility,1417270.6,0.5766,0.4234,,,,,,,
29187-Boston / Southampton Street,700074020,Self-Storage Facility,290 Southampton Street,73400,Self-Storage Facility,1464439.4,0.2927,0.773,,,,,,,
"68 Beacon Street, Inc.",502280000,Multifamily Housing,68 Beacon Street,55000,"Bank Branch, Multifamily Housing, Office",3445562.2,0.1656,0.8344,,,,,,,
Hilton Boston Back Bay,401327000,Hotel,40 Dalton Street,393752,Hotel,19672788.3,0.6231,0.626,0.3143,,,,,,93
8 Winter Street,304781000,Multifamily Housing,8 Winter Street,48044,Multifamily Housing,1544844.4,1,,,,,,,,81
One India - 29573,303823000,Multifamily Housing,One India St,130838,"Multifamily Housing, Office, Restaurant",9672993.8,0.5913,0.487,,,,,,,26
Emerson Place - 19100,300449000,Multifamily Housing,10 Emerson PL ,509460,"Medical Office, Multifamily Housing",32253996.1,0.339,0.6691,,,,,,,73
660 Washington - 29803,304965012,Multifamily Housing,660 Washington St.,611442,"Multifamily Housing, Restaurant",32650054.7,0.4643,0.5357,,,,,,,59
Troy Boston - 24030,03 06577-000,Multifamily Housing,55 Traveler Street,427719,"Food Service, Heated Swimming Pool, Multifamily Housing, Parking, Restaurant",17105807.6,0.4824,0.5176,,,,,,,88
315 on A - 24305,602761030,Multifamily Housing,315 A Street,259370,"Multifamily Housing, Parking",12206186.4,0.3727,0.6272,,,,,0.1368,,80
Avenir - 29807,301570001,Multifamily Housing,101 Canal St.,432530,"Multifamily Housing, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",14605680.5,0.5525,0.4475,,,,,,,93
Girard - 24018,801103000,Multifamily Housing,50 Malden Street,254897,"Multifamily Housing, Parking, Restaurant",8209611.5,0.616,0.384,,,,,,,92
Towers at Longfellow - 19137,300470000,Multifamily Housing,5 Longfellow Place,1174105,"Fast Food Restaurant, Heated Swimming Pool, Medical Office, Multifamily Housing, Parking",38197326.1,0.674,0.326,,,,,,,84
The Courtyard,2202114000,Multifamily Housing,140-154 North Beacon Street,70074,Multifamily Housing,2660420,0.9116,0.884,,,,,,,70
Grand Lodge of Masons,304889000,Social/Meeting Hall,186 Tremont Street,101000,Social/Meeting Hall,4364080.2,0.2137,0.191,0.7672,,,,,,
South Boston Elderly,602147000,Multifamily Housing,120 H Street,25500,Multifamily Housing,2684877.3,0.3892,0.618,,,,,,,14
DIV Shawmut LLC,306180000,Pre-school/Daycare,112 Shawmut Avenue,70002,Pre-school/Daycare,2060611.6,0.793,0.297,,,,,,,
125 Guest St,2201904004,Multifamily Housing,125 Guest St,387083,Multifamily Housing,32278004.8,0.4963,0.537,,,,,,,5
2679 - SOUTH BAY/BOSTON,703501080,Retail Store,5 Allstate Road,130520,Retail Store,4236361,0.3317,0.6683,,,,,,,100
2665 - W ROXBURY,2009216400,Retail Store,1213 VFW Parkway,123596,Retail Store,9867660.9,0.5832,0.4168,,,,,,,55
Essex Street Apartments,304450050,Multifamily Housing,81 Essex Street,30053,Multifamily Housing,2440062.9,0.86,0.1994,,,,,,,9
Commonwealth Apartments,2101579000,Multifamily Housing,1144-1160 Commonwealth ,150780,Multifamily Housing,16578627.8,0.198,0.892,,,,,,,52
Albany Street Apartments,801218000,Multifamily Housing,601 Albany Street,56610,Multifamily Housing,2538551.1,0.4931,0.569,,,,,,,59
KRT Holdings LLC,503801000,Retail Store,375 Newbury Street,38380,Retail Store,929789.8,1,,,,,,,,78
"Exeter Towers, LLC",501398000,Multifamily Housing,28 Exeter Street,134305,"Multifamily Housing, Parking, Restaurant, Retail Store",4850558.1,0.4783,0.5217,,,,,,,
Kensington Newbury 361 Newbury,503014000,Office,100 Massachusetts Ave.,88385,"Fitness Center/Health Club/Gym, Office, Retail Store",6724693.5,0.5957,0.443,,,,,,,46
KIC Dorcester LLC 815 Morton,1404048000,Multifamily Housing,819-815 Morton Street,25800,"Multifamily Housing, Parking",974299.6,0.5152,0.4848,,,,,,,69
