Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",ENERGY STAR Score,Onsite Renewable (kWh)
750 Harrison Avenue,801405000,Medical Office,750 Harrison Avenue,56487,Medical Office,6318880.6,0.290958766,,0.709041234,,,,,59,
75-101 Federal Street,"304198000, 304199000",Office,75-101 Federal Street,888478,"Bank Branch, Data Center, Office, Parking",59014423.6,0.946317793,0.010646824,0.043035381,,,,,72,
"755 Boylston, LLC",503207200,Multifamily Housing,755 Boylston Street,54384,"Multifamily Housing, Restaurant",2803100.1,0.549249097,0.450750938,,,,,,,
756 705-6 CONDOMINIUMS,803001000,Multifamily Housing,122 Blue Hill Ave,107117,Multifamily Housing,12447721.9,0.489821812,0.510178188,,,,,,7,
75-85 East Newton Street (Evans)  E Building,801405000,Laboratory,75 East Newton Street,180366,Laboratory,34696677.1,0.403716052,,0.596283948,,,,,,
765 Commonwealth Avenue,2100360000,College/University,765 Commonwealth Avenue,167671,College/University,28979795.9,0.299308233,0.700691767,,,,,,,
77 N Washington St,301509000,Other,77 N Washington St,145453,Other,10635883.3,0.427701562,0.572298447,,,,,,,
771 Commonwealth Avenue,2100360000,Library,771 Commonwealth Avenue,218657,Library,30089510,0.249364931,0.750635069,,,,,,,
775 Commonwealth Avenue,2100360000,College/University,775 Commonwealth Avenue,202105,College/University,28008987.1,0.276196446,0.723803554,,,,,,,
778-780 Harrison Avenue R (10 Stoughton),801403000,Laboratory,780 Harrison Avenue,120633,Laboratory,27807609.3,0.535660295,,0.464339709,,,,,,
78 & 84 Gainsborough St,401647000,Multifamily Housing,78 Gainsborough St,55280,Multifamily Housing,136869.5,1,,,,,,,,
780 Columbus Avenue,901364000,College/University,780 Columbus Avenue,40273,College/University,3535463,0.379854972,0.620145028,,,,,,,
785 Commonwealth Avenue (1 University Road),2100392000,College/University,785 Commonwealth Avenue (1 University Road),54767,College/University,5756576.7,0.354762284,0.645237716,,,,,,,
785 Cummins Hwy,1801980000,Multifamily Housing,15 Bismark Street,14400,Multifamily Housing,1129492.5,0.191115567,,,0.808884433,,,,,
79 Gainsborough St,401599000,Multifamily Housing,79 Gainsborough St,37120,Multifamily Housing,73588.7,1,,,,,,,100,
79 Walnut Park (Wardman),1101618000,Multifamily Housing,79 Walnut Park,15776,Multifamily Housing,1486632.1,0.155195156,0.844804844,,,,,,,
790 Harrison Ave (71 East Concord) K Building,801420010,Laboratory,790 Harrison Ave (71 East Concord),77861,Laboratory,29063433.3,0.539849519,,0.460150481,,,,,,
795 Cummins Hwy,1801980000,Multifamily Housing,15 Bismark Street,14400,Multifamily Housing,1197271.5,0.216506031,,,0.783493969,,,,,
8 Fenway,401795000,College/University,8 The Fenway ,46142,College/University,34468087.2,0.025482241,0.974517759,,,,,,,
8 Winter Street,304781000,Multifamily Housing,8 Winter Street,48044,Multifamily Housing,1900115.5,1,,,,,,,59,
80 Boylston St./ The Little Building,500001001,Residence Hall/Dormitory,80 Boylston Street,216877,Residence Hall/Dormitory,18761888.4,0.221827047,,0.778172953,,,,,58,
80 Fairlawn,1801935000,Multifamily Housing,15 Bismark Street,50000,Multifamily Housing,3168081.6,0.182501739,,,0.817498261,,,,74,
803 Summer Street,603405050,Office,803 Summer Street,36000,Office,1817246.6,0.694537879,0.305462121,,,,,,72,
"81, 85, 89 Strathmore Road",2102471000,Multifamily Housing,"81, 85 and 89 Strathmore Road",51400,Multifamily Housing,2690110.8,0.176615104,,,0.823384896,,,,98,
815 Albany Street,802041010,Multifamily Housing,815 Albany Street,102283,Multifamily Housing,7300890.6,0.417065926,0.582934074,,,,,,28,
82 East Concord Street (715 Albany Street),801408000,Medical Office,82 East Concord Street,82153,Medical Office,5653404.4,0.405425269,,0.594574731,,,,,80,
82 South Huntington,1001492000,Multifamily Housing,82 South Huntington Avenue,80000,Multifamily Housing,1008781.7,1,,,,,,,100,
84 State Street,303680000,Office,84 State Street,133208,"Office, Other, Restaurant",5912385.7,0.825397352,,,,,,,83,
84SB5-The Westin Copley Place,401067010,Hotel,10 Huntington Avenue,787650,Hotel,79075099.4,0.412830457,0.229503346,0.107283954,,,0.250382242,,64,
85 E. India Row,302975000,Multifamily Housing,85 E. India Row,406928,Multifamily Housing,21411620.8,0.35836961,0.641630394,,,,,,75,
8505-Boston - Dorchester - Norwood St OC,1602405010,Self-Storage Facility,41 Norwood St,70076,Self-Storage Facility,1086107.7,0.419486668,0.580513332,,,,,,,
855 Boylston Street-Gateway Longwood,503134000,Office,855 Boylston,155775,"Office, Other, Parking",7549913,1,,,,,,,79,
855 Commonwealth Avenue,2100397000,College/University,855 Commonwealth Avenue,207318,College/University,18888607.2,0.352485238,0.647514762,,,,,,,
856-862 Beacon Street,"2100210000, 2100211000, 2100212000, 2100213000",Multifamily Housing,856-862 Beacon Street,35364,Multifamily Housing,4139353.8,0.083833448,0.916166552,,,,,,17,
867 Boylston,503138000,Office,867 Boylston Street,29000,"Office, Retail Store",2500194.2,0.699824638,0.300175402,,,,,,27,
87 Gainsborough St,401603000,Multifamily Housing,87 Gainsborough St.,37120,Multifamily Housing,92016.1,1,,,,,,,100,
87 Summer Street,304574000,Office,87 Summer Street,28119,Office,1756222.4,0.226373835,0.773626108,,,,,,79,
871 Commonwealth Avenue,2100398000,College/University,871 Commonwealth Avenue,95968,College/University,14523751.1,0.157873485,0.842126515,,,,,,,
88 Black Falcon,602674016,Non-Refrigerated Warehouse,88 Black Falcon Ave.,376675,"Non-Refrigerated Warehouse, Office",38417756.1,0.464019579,0.535980421,,,,,,32,
88 Black Falcon Avenue,602674016,Office,88 Black Falcon Avenue,376675,Office,38280116.5,0.462864741,0.537135262,,,,,,52,
88 Broad Street,303983000,Financial Office,88 Broad Street,63680,Financial Office,2997452.3,1,,,,,,,70,
88 Hudson: 88 Hudson Street,304981010,Multifamily Housing,88 Hudson Street,59992,Multifamily Housing,2392170.7,0.342636209,0.657363791,,,,,,99,
881 Commonwealth Avenue,2100399000,Office,881 Commonwealth Avenue,107773,"Medical Office, Office",10195726.4,0.524590734,0.475409266,,,,,,51,
888 Boylston Street,401037104,Office,888 Boylston Street,436969,"Office, Other - Restaurant/Bar, Retail Store",30614866.3,0.688596474,0.311403526,,,,,,65,
9 Miner Street,2100166000,Multifamily Housing,9 Miner St,46250,"Multifamily Housing, Parking",2788376,0.370958472,0.629041528,,,,,,85,
9 Williams St,902126010,Multifamily Housing,2101 Washington St,45200,Multifamily Housing,1944760.6,0.383985875,0.616014125,,,,,,86,
90 & 96 Gainsborough St,401646000,Multifamily Housing,90 Gainsborough St,55280,Multifamily Housing,186318.4,1,,,,,,,,
90 Canal,301619000,Office,90 Canal Street,85199,Office,10145998.5,0.391522559,0.608477441,,,,,,36,
90 Seattle St,2200181000,Retail Store,90 Seattle Street,36572,Retail Store,1524443.4,0.099455578,0.900544422,,,,,,99,
900 Beacon Street,2100220000,Multifamily Housing,900 Beacon St,38950,"Multifamily Housing, Parking",3810482,0.391048114,0.608951886,,,,,,5,
91 Bay State Road,503743000,Residence Hall/Dormitory,91 Bay State Road,118821,Residence Hall/Dormitory,9059712.5,0.279552072,0.720447939,,,,,,67,
915 Commonwealth Avenue,2100401000,Fitness Center/Health Club/Gym,915 Commonwealth Avenue,286901,"Fitness Center/Health Club/Gym, Swimming Pool",38599619.3,0.482105392,0.517894608,,,,,,,
91-95-99 Gordon St,2101276000,Multifamily Housing,91-95-99 Gordon St ,49584,Multifamily Housing,Not Available,,,,,,,,,
921 Boylston St.,503103000,College/University,921 Boylston Street,58390,College/University,5319084.3,0.4539327,0.546067281,,,,,,,
925 Commonwealth Avenue,2100401000,Indoor Arena,925 Commonwealth Avenue,303285,"Indoor Arena, Parking",35807487,0.492345618,0.507654382,,,,,,,
93 Summer Street (EPL),304575000,Office,93 Summer Street,24993,"Office, Other - Mall",2375103.2,0.238780782,0.413759032,,0.347460186,,,,70,
95 Gainsborough St,401607000,Multifamily Housing,95 Gainsborough St,37120,Multifamily Housing,62219.2,1,,,,,,,100,
95 Magazine St,800487000,Other,95 Magazine St,5150,Other,800478.5,0.120504798,0.879495202,,,,,,,
95 Mt Vernon,,Other,95 Mt Vernon Street,11329,Other,102861.6,1,,,,,,,,
95-103 Washington St,"1400832000, 1400832000",Multifamily Housing,95 Washington Street,25038,Multifamily Housing,1978337.9,0.188266069,0.811733931,,,,,,49,
96 Washington St. Realty Trust,2101914000,Multifamily Housing,96 Washington St.,30348,Multifamily Housing,3070914.9,0.131138411,0.868861589,,,,,,55,
9673r-Renaissance Boston Waterfront,602680100,Hotel,606 Congress Street,405633,Hotel,42191374.6,0.390733245,0.609266755,,,,,,67,
98 N. Washington Street,301518000,Office,98 N. Washington Street,80530,Office,4123347.1,0.741339166,0.258660834,,,,,,83,
983-985 Commonwealth Avenue,2100409000,Office,983-985 Commonwealth Avenue,36865,Office,4619188.3,0.47110383,0.52889617,,,,,,21,
99 Bedford Street,304245000,Office,99 Bedford Street,93779,Office,4555334,0.580092415,0.419907585,,,,,,92,
99 Chauncy Street,304504000,Office,99 Chauncy Street,108106,Office,5289401,0.535200886,0.464799114,,,,,,90,
99 Fulton Street: 99 Fulton Street,303604000,Multifamily Housing,99 Fulton Street,37000,Multifamily Housing,2480195.7,0.259877598,,,0.740122402,,,,88,
99 High Street,304390000,Office,99 High Street,731205,"Bank Branch, Office, Other - Restaurant/Bar, Parking",54510466.5,0.502049,0.497951,,,,,,83,
99 Summer Street,304576000,Office,99 Summer Street,291332,"Office, Parking",17672109.1,0.836923245,0.163076755,,,,,,75,
99 TREMONT,2203711010,Multifamily Housing,99 Tremont Street,102871,Multifamily Housing,930390.3,0.801373574,0.198626318,,,,,,100,
A0000034 - COPLEY_BOS_BACKSTREETS,401067010,Hotel,10 HUNTINGTON AVE,850000,Hotel,63444776.7,0.51453617,0.255130528,0.230333302,,,,,69,
A0000038 - W_BOS_RAZORBACKS,"500075030, 500075026, 500075024",Hotel,100 STUART STREET,370135,Hotel,42940587.2,0.279521599,0.104847192,0.615631206,,,,,38,
A0000040 - LIBERTY_BOS_LOOKFORWARD,300445010,Hotel,215 CHARLES ST,240000,Hotel,45464437.8,0.346929155,0.653070845,,,,,,3,
A0000043 - HYATT_BOS_LHOHARBORSIDE,,Hotel,101 HARBORSIDE DR,286000,Hotel,22482690.2,0.653969337,0.346030663,,,,,,51,
A0000048 - REVERE_BOS_NKOBT,500135000,Hotel,200 STUART ST,207444,Hotel,46074272.6,0.331804034,0.082442973,0.585752994,,,,,1,
A-01 Station,302626000,Police Station,40 NEW SUDBURY ST,37433,Police Station,5471584.1,0.384364374,0.615635626,,,,,,,
A-07 Station,105699000,Police Station,69 Paris St,16194,Police Station,1722528.7,0.454050896,0.545949104,,,,,,,
A-15 Station,202644020,Police Station,20 Vine St,20000,Police Station,2061181,0.431049966,0.568949985,,,,,,,
ABRAHAM LINCOLN,500746000,K-12 School,152 Arlington St.,80364,K-12 School,5015548.7,0.143682884,0.856317116,,,,,,75,
Academy Homes I,1100916001,Multifamily Housing,1592 Columbus Ave,232026,Multifamily Housing,23822218.6,0.150371557,0.849628439,,,,,,48,
Academy Training,1810341000,Police Station,85 Williams Ave,59500,Police Station,632944.7,1,,,,,,,,
Activities Building (180 Riverway),"402011000, 402000000",College/University,180 Riverway,98044,College/University,6157577.7,0.648298518,0.351701498,,,,,,,
ADAMS,104558000,K-12 School,165 Webster St.,41336,K-12 School,2361400.3,0.12609785,0.87390215,,,,,,82,
Adams Court - A,"1801010000, 1801012000",Multifamily Housing,415 River Street,29920,"Multifamily Housing, Parking",1636065.4,0.219975558,0.780024442,,,,,,90,
Adams Court - B,1801012001,Multifamily Housing,435 River St,15936,"Multifamily Housing, Parking",998569.4,0.184904925,0.815095075,,,,,,,
Adams Village (Whole Building Data): 725 Adams Street (Whole Building Tracking),1603457000,Multifamily Housing,725 Adams Street,34705,Multifamily Housing,1765929.4,0.212568351,0.787431649,,,,,,96,
Adams Village (Whole Building Data): 735 Adams Street (Whole Building Tracking),1603457001,Multifamily Housing,735 Adams Street,41395,Multifamily Housing,2115248.1,0.228772407,0.771227593,,,,,,93,
Administration Building/Wilkens Science Center,401847000,College/University,400 The Fenway,166153,"College/University, Data Center, Parking",27422234.3,0.319452292,0.680547708,,,,,,,
AGASSIZ,1103019000,K-12 School,20 Child St.,115400,K-12 School,5954946.1,0.503676482,0.496323518,,,,,,57,
Alan Issokson,1600667000,Residence Hall/Dormitory,1524-1530 Dorchester Ave.,30984,"Residence Hall/Dormitory, Retail Store",394887.1,,1,,,,,,100,
Albany Street Apartments,801219000,Multifamily Housing,601 Albany Street,56610,Multifamily Housing,2868248.5,0.490952336,0.509047664,,,,,,38,
Albany Street Hotel LLC,306730000,Hotel,225 Albany Street,99846,Hotel,1395205.9,0.173899709,0.826100291,,,,,,100,
Albert A. Pope Condominium Trust,401147000,Multifamily Housing,221 Columbus Ave,45780,Multifamily Housing,6975976.3,0.447568278,0.552431722,,,,,,1,
Aldrich Hall,2200530000,College/University,35 Harvard Way,105818,College/University,6458477.8,0.475619921,,0.524380079,,,,,,
ALIGHIERI,105723000,K-12 School,37 Gove St.,169748,K-12 School,1146116,0.235402874,0.764597126,,,,,,99,
Allandale Condominium Trust,2003590000,Other - Lodging/Residential,200 - 232 Allandale Road,10000,"Other - Lodging/Residential, Parking",Not Available,,,,,,,,,
Allerton: 65 Allerton Street,800962000,Office,65 Allerton Street,72087,Office,9933878.1,0.886204654,0.113795336,,,,,,7,
Alumnae Hall,402012000,College/University,321R Brookline Avenue,7600,College/University,1665250.3,1,,,,,,,,
Ambassador Realty Trust,"1802440000, 1802441000",Multifamily Housing,100 - 110 Livermore Street,72800,Multifamily Housing,5919781.7,0.025014858,0.974985142,,,,,,91,
Americold Boston,600006020,Refrigerated Warehouse,100 Widett Circle,240000,"Parking, Refrigerated Warehouse",7962516.6,1,,,,,,,88,
Ames Building,302885000,Residence Hall/Dormitory,One Court Street,94800,Residence Hall/Dormitory,8013407.5,0.658746894,0.341253094,,,,,,38,
Amiff Housing: Amiff-ALH,1404246000,Multifamily Housing,64 American Legion Highway,32879,Multifamily Housing,7636629.4,0.024800195,0.975199805,,,,,,3,
Amory Street,1101208000,Multifamily Housing,125 Amory Street,117306,"Multifamily Housing, Other",12928959.6,0.702833181,0.297166819,,,,,,3,
Amory Terrace,"1101202010, 1101201010, 1101202010",Multifamily Housing,20 Amory Avenue,64085,"Multifamily Housing, Parking",2580433.2,0.559665796,0.440334204,,,,,,97,
AMS Realty Trust,2101597000,Multifamily Housing,1082 Commonwealth Avenue,25737,"Multifamily Housing, Restaurant",3114487.7,0.127208016,0.872792016,,,,,,41,
Amy Lowell House: 65 Martha Road,300465000,Multifamily Housing,65 Martha Rd,115000,Multifamily Housing,9023322.2,0.419356232,0.580643768,,,,,,39,
Anderson Park: 250 Cambridge St,502186000,Multifamily Housing,250 Cambridge St,86006,Multifamily Housing,6512371.4,0.308060041,0.691939959,,,,,,43,
Animal Control Shelter,1902894000,Other,26 Mahler Rd,10000,Other,2512671.9,0.19029508,0.80970488,,,,,,,
Anna Bissonnette House: 1640 Washington Street,801448000,Multifamily Housing,1640 Washington Street,22953,Multifamily Housing,2870449.4,0.242174588,0.757825447,,,,,,9,
Ansin Building,304890100,College/University,180 Tremont St,98744,College/University,6401187,0.981051171,,0.018948829,,,,,,
Anti Corruption,801948000,Police Station,1960 Washington St,4200,Police Station,226564.4,0.451568737,0.548431263,,,,,,,
Arborway Gardens Condominium,1102640000,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",150172,Multifamily Housing,16734336.4,0.073157935,0.926842065,,,,,,18,
Archives Building,2009228000,Non-Refrigerated Warehouse,201 Rivermoor St,119454,Non-Refrigerated Warehouse,8524887.6,0.73274796,0.26725204,,,,,,4,
ARE ND CR Longwood LLC,401967010,Laboratory,360 Longwood Avenue,210709,"Food Sales, Laboratory, Parking",161265056,0.331740953,0.668259047,,,,,,,
Arlington Boylston,501169000,Office,330-350 Boylston Street,63054,"Office, Other, Retail Store",5136741.2,0.264116168,0.179744971,0.556138861,,,,,60,
Armenian Nursing & Rehab,1902312000,Residential Care Facility,431 Pond Street,38000,"Parking, Residential Care Facility",3260187.3,0.086477393,0.913522607,,,,,,,
Armenise,401882000,College/University,210 Longwood Ave,133645,College/University,27481215,0.315038069,0.001335458,0.378399205,,,0.305227269,,,
Arnold Hall,402013000,College/University,78 Pilgrim Road,22000,College/University,933793,1,,,,,,,,
Arthur J. Hurley Co.,1201247000,Distribution Center,2500 Washington Street,50000,Distribution Center,836461.8,,0.755683045,,,,,,85,59895
Artists,602696002,Multifamily Housing,300 Summer Street,99536,Multifamily Housing,3651403.9,0.429094464,0.570905536,,,,,,86,
Ashmont Hill LLC,1601072000,Senior Care Community,321 Centre Street,46952,Senior Care Community,7187658.6,0.315997994,0.684002006,,,,,,37,
Asian Healthcare Foundation of Massachusetts,304325000,Office,145 South Street,42000,Office,2549010.7,0.61557627,0.38442373,,,,,,91,
Atelier 505,500815020,Multifamily Housing,505 Tremont St,440000,Multifamily Housing,29179450.4,0.516905983,0.483094013,,,,,,10,
ATJ Neponset III,1809785000,Multifamily Housing,30 - 46 Sierra Road,43400,Multifamily Housing,1964608.1,1,,,,,,,52,
Atlantic Wharf,"302952018, 302952020, 302952022, 302952024, 302952014, 302952010",Office,280 Congress St.,964949,"Data Center, Multifamily Housing, Office, Parking, Restaurant",78456194.5,0.711595766,0.288404234,,,,,,81,
Atrium On Commonwealth,2100477000,Multifamily Housing,1079 Commonwealth Ave.,278852,"Multifamily Housing, Parking, Retail Store",9678318.7,1,,,,,,,71,
Audubon Park Condo Trust,2100167000,Multifamily Housing,16 Miner St,84310,Multifamily Housing,3328894.6,0.526365569,0.473634431,,,,,,80,
Avenir - 29807,301570001,Multifamily Housing,101 Canal St.,335514,"Multifamily Housing, Parking, Restaurant, Retail Store",16682340.4,0.518346946,0.481653054,,,,,,79,
B001-Dental,305380000,College/University,1 Kneeland Street,330486,College/University,93445809.1,0.221137196,,0.778862804,,,,,,
B002-PosnerHall,305081000,College/University,200 Harrison Ave,61259,College/University,5478089.4,0.313520166,0.686479834,,,,,,,
B003-BRPH (M&V),"305251000, 305252000, 305253000, 305254000",College/University,136 Harrison Ave,231534,College/University,81908102.1,0.430106496,0.000226725,0.569666779,,,,,,
B008_Jaharis,305104000,College/University,150 Harrison Ave,179165,College/University,55146053.9,0.453687835,0.000150702,0.546161465,,,,,,
B011-Sackler,305371000,College/University,145 Harrison Ave,136192,College/University,18448067.8,0.427337756,,0.572662244,,,,,,
B-02 Station,1201261000,Police Station,2400 Washington St,34500,Police Station,4230493,0.42709774,0.57290226,,,,,,,
B-03 Station,1404623000,Police Station,1163 Blue Hill Ave,15000,Police Station,2740921.5,0.379672129,0.620327835,,,,,,,
Babcock Tower,2100470000,Multifamily Housing,270 Babcock Street,155384,Multifamily Housing,9420125.8,1,,,,,,,23,
Back Bay Maintenance,401994000,Other,440 Park Dr,10822,Other,491616.5,0.200915754,0.799084246,,,,,,,
Back of the Hill Apartments L.P.,1001490000,Multifamily Housing,100 South Huntington Avenue ,119531,Multifamily Housing,7261748.3,0.262706572,0.737293428,,,,,,86,
Baker Library,2200530000,Library,25 Harvard Way,157820,Library,12828148.7,0.321613461,,0.666544425,,,,,,44523
Baker Square,1704031010,Multifamily Housing,1241 Adams Street,229178,Multifamily Housing,13188164.2,0.469618645,0.530381355,,,,,,53,
BALDWIN,2102045000,K-12 School,121 Corey Road,27777,K-12 School,1342216.8,0.166472287,0.833527788,,,,,,88,
Bancroft,2102155000,Multifamily Housing,119-127 Sutherland,30600,Multifamily Housing,3770154.7,0.103152186,0.852118615,,0.044729199,,,,29,
Bancroft,"1101101001, 1101101000, 1101097000, 1102299000, 1102315000, 1102316000",Multifamily Housing,1-11 Bancroft St,26614,"Multifamily Housing, Parking",2960307.1,0.132203446,0.86779652,,,,,,,
Bancroft Realty LTD PTR: 1687 Commonwealth Avenue,2102648000,Multifamily Housing,1687 Commonwealth Avenue,27200,Multifamily Housing,3011565.2,0.083478053,,,0.916521947,,,,60,
Bancroft Realty LTD PTR: 88 Washington Street,2101915000,Multifamily Housing,88 Washington Street,18000,Multifamily Housing,2602816.6,0.115026468,0.884973532,,,,,,33,
BARRON,1806609000,K-12 School,515 Hyde Park Ave.,14700,K-12 School,1081951.6,0.380736624,0.619263376,,,,,,34,
Bartol Hall,402012000,College/University,84 Pilgrim Road,25400,College/University,2153843.7,0.51968121,0.48031879,,,,,,,
Basilica Leasehold Condominium Trust: Basilica Condominium,203510175,Multifamily Housing,106 13th Street,80000,Multifamily Housing,7049857.9,0.330406348,0.669593652,,,,,,87,
BATES,1805161000,K-12 School,426 Beech St.,27936,K-12 School,2029446.1,0.124855693,0.875144307,,,,,,64,
Batten Hall,2200500000,College/University,125 Western Avenue,77029,College/University,5144141.4,0.463208593,0.451916271,,,,,,,127963
Battery Wharf Master Condo Assoc,"303041010, 303041300",Mixed Use Property,2 Battery Wharf,416920,"Hotel, Multifamily Housing, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store",34778116,0.495774561,0.504225439,,,,,,12,
Bay Cove Human Services,301612000,Office,157-159 Friend Street,54893,"Office, Urgent Care/Clinic/Other Outpatient",3004367.1,0.444316808,0.555683192,,,,,,89,
BB/OP/12SS: 31 Burbank Street,401440000,Multifamily Housing,31 Burbank Street,40461,Multifamily Housing,3817032.1,0.133043628,0.866956372,,,,,,60,
BBH Boston Back Bay Hilton,401327000,Hotel,40 Dalton Street,393752,Hotel,28426479.4,0.569079117,0.125048918,0.305871968,,,,,73,
BC  129 Lake St Offices,2205268078,Office,129 Lake Street,90645,"Office, Restaurant",6667847.1,0.563739981,0.436260019,,,,,,68,
BC Stayer Hall,2102473001,Multifamily Housing,110 St Thomas More Rd,104278,Multifamily Housing,6752376.9,0.378781715,0.621218285,,,,,,54,
BE Realty,304206000,Office,133 Federal St,127689,"Office, Restaurant",16043294.1,0.389796364,,0.61020363,,,,,37,
Beacon Hill House,302813000,Multifamily Housing,122 Bowdoin Street,56000,Multifamily Housing,5537956.2,0.14399825,0.856001732,,,,,,44,
Beacon House: 19 Myrtle St,300168000,Multifamily Housing,19 Myrtle St,82279,Multifamily Housing,5955639.3,0.243827258,,,0.756172742,,,,89,
Beasley Media Boston,1302364021,Other - Entertainment/Public Assembly,55 Morrissey Blvd,42000,"Other - Entertainment/Public Assembly, Parking",5600975.4,0.916971301,0.083028699,,,,,,,
Beck Southend Trust,801136000,Other,49-59 Wareham St.,57072,Other,3123051.7,0.145803446,0.854196554,,,,,,,
BEETHOVEN,2003045000,K-12 School,5125 Washington St.,37452,K-12 School,2701553.6,0.163433959,0.836566041,,,,,,60,
Belgrade Place LLC,2005737000,Multifamily Housing,446 Belgrade Ave,43716,"Multifamily Housing, Parking",2035616.1,0.696160833,0.303839216,,,,,,80,
Bell Olmsted Park,1001631000,Multifamily Housing,161 South Huntington Ave,193000,"Multifamily Housing, Parking, Swimming Pool",11131260.9,0.422895568,0.577104432,,,,,,67,
"Belvedere Condo Trust, The",401037600,Multifamily Housing,100 Belvedere Street,165000,Multifamily Housing,5371767,0.948501582,0.051498418,,,,,,79,
Benjamin Healthcare Center,1001342000,Senior Care Community,120 Fisher Avenue,75400,"K-12 School, Parking, Senior Care Community",6278744.5,0.594807545,0.405192455,,,,,,72,
Beren Tennis Pavilion,2200533000,Other - Recreation,71 North Harvard Street,6117,Other - Recreation,1249104.6,1,,,,,,,,
Beryl Gardens,903082100,Multifamily Housing,103 Madison Park Court,25000,Multifamily Housing,1977188.4,0.208876655,0.791123345,,,,,,73,
BIDMC East && West Campus,"401861000, 401862000, 401942000, 401944000, 401954000, 401964001",Hospital (General Medical & Surgical),330 Brookline Ave.,2497517,"Hospital (General Medical & Surgical), Laboratory, Parking",812970373.2,0.264825779,0.003967303,0.458251329,0.00224848,,0.270707109,,24,
BIDMC Research North,2100067000,Laboratory,95 Brookline Ave,114681,Laboratory,22992259.6,0.67224187,0.32775813,,,,,,,
Bigelow Court Condominiums,2203171000,Multifamily Housing,142 Bigelow Street,43066,"Multifamily Housing, Parking",1838137.7,0.302163597,0.697836348,,,,,,99,
Bigelow Sq,600516000,Multifamily Housing,350 West 4th St.,60000,Multifamily Housing,693986.8,0.135867282,0.864132862,,,,,,100,
Bird Farm South LLC,304323000,Office,129 South Street,43031,"Office, Other - Restaurant/Bar",90429.6,1,,,,,,,,
BLACKSTONE,900160000,K-12 School,380 Shawmut Ave.,194260,"Heated Swimming Pool, K-12 School",20144474.7,0.177222328,0.822777672,,,,,,31,
Blackstone Square LP,900190000,Other,1511 - 1525 Washington Street,50290,Other,125122.9,1,,,,,,,,
Blake Estates I & II,"1809255000, 1809255010",Multifamily Housing,1344 Hyde Park Avenue,193000,Multifamily Housing,10926372.4,0.254463256,0.745536744,,,,,,87,
Blodgett Pool,2200533000,Other - Recreation,55 North Harvard Street,46074,"Office, Other, Other - Recreation, Swimming Pool",6286641.8,0.309903628,0.690096372,,,,,,,
Blue Elm Apartments: 172-176 Seaver Street,"1202347000, 1202344000",Multifamily Housing,172-176 Seaver St,65350,Multifamily Housing,3966135.3,0.153716289,0.846283736,,,,,,82,
Blue Elm Apartments-6 Wayne Street,1202410000,Multifamily Housing,6 Wayne Street,61335,Multifamily Housing,4187516,0.151935467,0.848064533,,,,,,89,
Blue Ledge Co-op: 15 Blue Ledge Drive,1806016300,Multifamily Housing,15 Blue Ledge Drive,72186,Multifamily Housing,4629783.4,0.330060646,0.669939332,,,,,,70,
BMR-Blackfan Circle LLC,401853020,Laboratory,3 Blackfan Circle,761369,"Laboratory, Parking, Restaurant",283200937.7,0.25362449,0.74637551,,,,,,,
Bold Colony LLC,700276001,Self-Storage Facility,39 Old Colony Avenue,67430,Self-Storage Facility,1830742,0.380199941,0.298458221,,0.321341838,,,,,
Bornstein & Pearl,1300952000,Food Service,196 Quincy St,36000,Food Service,6790274,0.402298935,0.597701065,,,,,,,
BOS - 245 Summer Street,305364005,Office,245 Summer Street,906422,"Data Center, Financial Office, Office, Restaurant",Not Available,,,,,,,,,
BOS HOME FOR INCURABLES,1704417000,Senior Care Community,2061 Dorchester Ave.,92300,Senior Care Community,10993842.3,0.16972934,0.830270651,,,,,,100,
BOS Office 3 LLC,304603000,Office,63 Franklin Street,34075,Office,1930395.1,0.618351601,0.381648451,,,,,,,
Boston Baptist College,1810945000,Adult Education,950 Metropolitan Ave,40425,Adult Education,3984688.3,0.139683423,0.860316552,,,,,,,
Boston Bowl,1602582000,Other - Entertainment/Public Assembly,820 William T. Morrissey Blvd,45096,"Other - Entertainment/Public Assembly, Parking",5518741.9,0.520887197,0.479112821,,,,,,,
BOSTON CAR CO INC,2202755000,Automobile Dealership,1600 SOLDIERS FIELD RD,41169,Automobile Dealership,3601380.6,0.530843033,0.469156967,,,,,,,
Boston Children's Hospital,"401851000, 401853100, 401870000, 401886000, 401894000, 401895000, 401990000",Other - Specialty Hospital,300 Longwood Ave,2228153,"Other, Other - Specialty Hospital, Parking",1038107840,0.230455132,,0.49386797,,,0.275676897,,,
Boston Chinese Evangelical Church,306175000,Worship Facility,120 Shawmut Ave,36446,"Parking, Worship Facility",3022685.3,0.222942627,0.777057373,,,,,,22,
Boston College   (BERDO),"2204960020, 2205268030, 2205268050, 2205268070, 2205268080",College/University,140 Commonwealth Ave,2738980,College/University,202740976.4,0.519013854,0.345454615,0.135531531,,,,,,
Boston Collegiate Charter School,702972010,College/University,11 Mayhew Street,40100,College/University,3409560.5,0.386085303,0.613914697,,,,,,,
